id,cqc_location_id,location_ods_code,name,name_normalized,provider_name,provider_id,brand_name,telephone,email,website,city,county,postcode,latitude,longitude,region,local_authority,beds_total,beds_available,has_availability,availability_status,availability_last_checked,year_opened,year_registered,care_residential,care_nursing,care_dementia,care_respite,has_nursing_care_license,has_personal_care_license,has_surgical_procedures_license,has_treatment_license,has_diagnostic_license,serves_older_people,serves_younger_adults,serves_mental_health,serves_physical_disabilities,serves_sensory_impairments,serves_dementia_band,serves_children,serves_learning_disabilities,serves_detained_mha,serves_substance_misuse,serves_eating_disorders,serves_whole_population,fee_residential_from,fee_nursing_from,fee_dementia_from,fee_respite_from,accepts_self_funding,accepts_local_authority,accepts_nhs_chc,accepts_third_party_topup,cqc_rating_overall,cqc_rating_safe,cqc_rating_effective,cqc_rating_caring,cqc_rating_responsive,cqc_rating_well_led,cqc_last_inspection_date,cqc_publication_date,cqc_latest_report_url,review_average_score,review_count,google_rating,wheelchair_access,ensuite_rooms,secure_garden,wifi_available,parking_onsite,is_dormant,data_quality_score,created_at,updated_at,last_scraped_at,regulated_activities,source_urls,service_types,service_user_bands,facilities,medical_specialisms,dietary_options,activities,pricing_details,staff_information,reviews_detailed,media,location_context,building_info,accreditations,source_metadata,extra,provider_telephone_number,provider_hsca_start_date
1,1-10016894058,VNH55,Respite Breaks - Epwell rd.,respite breaks - epwell rd.,Respite Breaks Limited,1-9617071823,BRAND Achieve Together,1212740588,,,Birmingham,,B44 8DD,52.5333980,,West Midlands,Birmingham,2,,false,,,,2020,true,false,false,,false,false,false,false,false,false,true,false,false,true,false,false,,false,false,false,false,,,,,true,true,true,true,Good,Good,Good,Good,Good,Good,2022-04-26,,http://www.cqc.org.uk/location/1-10016894058,,,,false,false,false,false,false,false,50,2025-11-03 10:06:34.364688+00,2025-11-03 11:59:49.054318+00,,"{""activities"":[]}","{""lottie_url"":""https://lottie.org/care-home/england/1-10016894058/respite-breaks---epwell-rd/"",""cqc_profile"":""https://www.cqc.org.uk/location/1-10016894058"",""carehome_url"":null}","{""services"":[""Care home service without nursing""]}","{""bands"":[""Sensory impairment"",""Younger adults""]}",{},{},{},{},{},"{""main_partner"":""*"",""registered_manager"":""Ricketts, Leonie"",""nominated_individual"":""Simpson, Nicholas""}",{},{},"{""paf_id"":null,""uprn_id"":""1.0007E+11"",""ccg_code"":""E38000220"",""ccg_name"":""NHS Birmingham and Solihull CCG"",""nhs_region"":""Midlands"",""commissioning_ccg_code"":null,""commissioning_ccg_name"":null,""parliamentary_constituency"":""Birmingham Erdington""}","{""provider_city"":""Birmingham"",""address_line_2"":null,""street_address"":""8 Epwell Road"",""provider_county"":null,""provider_postcode"":""B44 8DD"",""provider_address_line_2"":null,""provider_street_address"":""8 Epwell Road""}",{},"{""inherited_rating"":false,""location_type_sector"":""Social Care Org"",""provider_type_sector"":""Social Care Org"",""inspection_directorate"":""Adult social care"",""provider_charity_number"":null,""provider_ownership_type"":""Organisation"",""primary_inspection_category"":""Residential social care"",""provider_companies_house_number"":""3885446"",""provider_inspection_directorate"":""Adult social care"",""provider_primary_inspection_category"":""Residential social care""}",{},1212740588,2020-12-14
2,1-1004508435,VM4G9,Meadow Rose Nursing Home,meadow rose,MACC Care Limited,1-101641521,BRAND MACC Care,1214769808,,www.macccare.com,Birmingham,West Midlands,B31 2TX,52.3998430,-1.9892410,West Midlands,Birmingham,56,,false,,,,2013,false,true,true,,false,false,false,true,false,true,true,false,true,false,true,false,,false,false,false,false,,,,,true,true,true,true,Requires Improvement,Requires Improvement,Requires Improvement,Good,Good,Requires Improvement,2020-10-01,,http://www.cqc.org.uk/location/1-1004508435,,,,false,false,false,false,false,false,100,2025-11-03 10:06:34.364688+00,2025-11-03 10:06:34.364688+00,,"{""activities"":[""treatment_disease""]}","{""lottie_url"":""https://lottie.org/care-home/england/1-1004508435/meadow-rose-nursing-home/"",""cqc_profile"":""https://www.cqc.org.uk/location/1-1004508435"",""carehome_url"":""https://www.carehome.co.uk/carehome.cfm/searchazref/65432203358""}","{""services"":[""Care home service with nursing""]}","{""bands"":[""Dementia"",""Older people"",""Physical disability"",""Younger adults""]}",{},{},{},{},{},"{""main_partner"":""*"",""registered_manager"":""Kazembe, Steven"",""nominated_individual"":""Wilson, Michael""}",{},{},"{""paf_id"":""37622646"",""uprn_id"":""1.00071E+11"",""ccg_code"":""E38000220"",""ccg_name"":""NHS Birmingham and Solihull CCG"",""nhs_region"":""Midlands"",""commissioning_ccg_code"":null,""commissioning_ccg_name"":null,""parliamentary_constituency"":""Birmingham Northfield""}","{""provider_city"":""Birmingham"",""address_line_2"":null,""street_address"":""96 The Roundabout"",""provider_county"":null,""provider_postcode"":""B15 1RP"",""provider_address_line_2"":""Edgbaston"",""provider_street_address"":""23 Calthorpe Road""}",{},"{""inherited_rating"":false,""location_type_sector"":""Social Care Org"",""provider_type_sector"":""Social Care Org"",""inspection_directorate"":""Adult social care"",""provider_charity_number"":null,""provider_ownership_type"":""Organisation"",""primary_inspection_category"":""Residential social care"",""provider_companies_house_number"":""5094075"",""provider_inspection_directorate"":""Adult social care"",""provider_primary_inspection_category"":""Residential social care""}",{},1212710800,2010-10-01
3,1-10646798947,VNJCX,Petersfield Care Home,petersfield,Inspiring Care Ltd,1-10605318825,-,1215151654,,,Birmingham,,B20 3RP,52.5080240,-1.9129550,West Midlands,Birmingham,5,,false,,,,2021,true,false,false,,false,false,false,false,false,true,true,false,false,false,false,false,,false,false,false,false,,,,,true,true,true,true,Good,Good,Good,Good,Good,Good,2023-01-20,,http://www.cqc.org.uk/location/1-10646798947,,,,false,false,false,false,false,false,100,2025-11-03 10:06:34.364688+00,2025-11-03 10:06:34.364688+00,,"{""activities"":[]}","{""lottie_url"":""https://lottie.org/care-home/england/1-10646798947/petersfield-care-home/"",""cqc_profile"":""https://www.cqc.org.uk/location/1-10646798947"",""carehome_url"":""https://www.carehome.co.uk/carehome.cfm/searchazref/10002501PETB""}","{""services"":[""Care home service without nursing""]}","{""bands"":[""Older people"",""Younger adults""]}",{},{},{},{},{},"{""main_partner"":""*"",""registered_manager"":""Reeves, Dawn"",""nominated_individual"":""Brown, Diane""}",{},{},"{""paf_id"":null,""uprn_id"":""1.00071E+11"",""ccg_code"":""E38000250"",""ccg_name"":""NHS Black Country and West Birmingham CCG"",""nhs_region"":""Midlands"",""commissioning_ccg_code"":null,""commissioning_ccg_name"":null,""parliamentary_constituency"":""Birmingham Perry Barr""}","{""provider_city"":""Birmingham"",""address_line_2"":""Handsworth"",""street_address"":""60 St. Peters Road"",""provider_county"":null,""provider_postcode"":""B20 3RP"",""provider_address_line_2"":""Handsworth"",""provider_street_address"":""60 St. Peters Road""}",{},"{""inherited_rating"":false,""location_type_sector"":""Social Care Org"",""provider_type_sector"":""Social Care Org"",""inspection_directorate"":""Adult social care"",""provider_charity_number"":null,""provider_ownership_type"":""Organisation"",""primary_inspection_category"":""Residential social care"",""provider_companies_house_number"":""11785657"",""provider_inspection_directorate"":""Adult social care"",""provider_primary_inspection_category"":""Residential social care""}",{},1215151654,2021-05-20
4,1-109100588,VLM9A,Beech Hill Grange,beech hill grange,Beech Hill Grange Limited,1-101620317,-,1213730200,,www.beechhillgrange.co.uk,Sutton Coldfield,West Midlands,B72 1DU,52.5396480,-1.8220840,West Midlands,Birmingham,74,,false,,,,2010,false,true,true,,false,false,false,true,true,true,true,false,true,false,true,false,,false,false,false,false,,,,,true,true,true,true,Requires Improvement,Requires Improvement,Requires Improvement,Good,Good,Requires Improvement,2024-09-13,,http://www.cqc.org.uk/location/1-109100588,,,,false,false,false,false,false,false,100,2025-11-03 10:06:34.364688+00,2025-11-03 10:06:34.364688+00,,"{""activities"":[""diagnostic_screening"",""treatment_disease""]}","{""lottie_url"":""https://lottie.org/care-home/england/1-109100588/beech-hill-grange/"",""cqc_profile"":""https://www.cqc.org.uk/location/1-109100588"",""carehome_url"":""https://www.carehome.co.uk/carehome.cfm/searchazref/20002501BEEZ""}","{""services"":[""Care home service with nursing""]}","{""bands"":[""Dementia"",""Older people"",""Physical disability"",""Younger adults""]}",{},{},{},{},{},"{""main_partner"":""*"",""registered_manager"":""Nixon, Sonia"",""nominated_individual"":""Humpherston, Christian""}",{},{},"{""paf_id"":null,""uprn_id"":""1.00071E+11"",""ccg_code"":""E38000220"",""ccg_name"":""NHS Birmingham and Solihull CCG"",""nhs_region"":""Midlands"",""commissioning_ccg_code"":null,""commissioning_ccg_name"":null,""parliamentary_constituency"":""Sutton Coldfield""}","{""provider_city"":""Sutton Coldfield"",""address_line_2"":""Wylde Green"",""street_address"":""1 Beech Hill Road"",""provider_county"":""West Midlands"",""provider_postcode"":""B72 1DU"",""provider_address_line_2"":""Wylde Green"",""provider_street_address"":""1 Beech Hill Road""}",{},"{""inherited_rating"":false,""location_type_sector"":""Social Care Org"",""provider_type_sector"":""Social Care Org"",""inspection_directorate"":""Adult social care"",""provider_charity_number"":null,""provider_ownership_type"":""Organisation"",""primary_inspection_category"":""Residential social care"",""provider_companies_house_number"":""4342419"",""provider_inspection_directorate"":""Adult social care"",""provider_primary_inspection_category"":""Residential social care""}",{},1213730200,2010-10-01
5,1-109925813,VL951,Sycamore House,sycamore house,Marblefield Limited,1-101680633,-,1217074622,,,Birmingham,West Midlands,B11 3RG,52.4526890,-1.8487590,West Midlands,Birmingham,28,,false,,,,2010,true,false,false,,false,false,false,false,false,false,false,true,false,false,false,false,,false,false,false,false,,,,,true,true,true,true,Good,Good,Good,Good,Good,Good,2019-04-05,,http://www.cqc.org.uk/location/1-109925813,,,,false,false,false,false,false,false,100,2025-11-03 10:06:34.364688+00,2025-11-03 10:06:34.364688+00,,"{""activities"":[]}","{""lottie_url"":""https://lottie.org/care-home/england/1-109925813/sycamore-house/"",""cqc_profile"":""https://www.cqc.org.uk/location/1-109925813"",""carehome_url"":""https://www.carehome.co.uk/carehome.cfm/searchazref/10002501SYCA""}","{""services"":[""Care home service without nursing""]}","{""bands"":[""Mental health""]}",{},{},{},{},{},"{""main_partner"":""*"",""registered_manager"":""Hu, Xiaonan"",""nominated_individual"":""Noorbaccus, Abdool""}",{},{},"{""paf_id"":null,""uprn_id"":""1.0007E+11"",""ccg_code"":""E38000220"",""ccg_name"":""NHS Birmingham and Solihull CCG"",""nhs_region"":""Midlands"",""commissioning_ccg_code"":null,""commissioning_ccg_name"":null,""parliamentary_constituency"":""Birmingham Hall Green and Moseley""}","{""provider_city"":""Birmingham"",""address_line_2"":""Tyseley"",""street_address"":""2a-2b Havelock Road"",""provider_county"":""West Midlands"",""provider_postcode"":""B11 3RG"",""provider_address_line_2"":""Tyseley"",""provider_street_address"":""Sycamore House, 2A-2B Havelock Road""}",{},"{""inherited_rating"":false,""location_type_sector"":""Social Care Org"",""provider_type_sector"":""Social Care Org"",""inspection_directorate"":""Adult social care"",""provider_charity_number"":null,""provider_ownership_type"":""Organisation"",""primary_inspection_category"":""Residential social care"",""provider_companies_house_number"":""1897956"",""provider_inspection_directorate"":""Adult social care"",""provider_primary_inspection_category"":""Residential social care""}",{},1217074622,2010-10-01
6,1-110294199,VLM9E,Bryony House,bryony house,Bryony House Limited,1-101610676,-,1214752965,,,Birmingham,West Midlands,B29 4BX,52.4308790,-1.9581860,West Midlands,Birmingham,35,,false,,,,2010,true,false,false,,false,false,false,false,false,true,false,false,false,false,false,false,,false,false,false,false,,,,,true,true,true,true,Inadequate,Inadequate,Requires Improvement,Requires Improvement,Requires Improvement,Inadequate,2025-08-01,,http://www.cqc.org.uk/location/1-110294199,,,,false,false,false,false,false,false,100,2025-11-03 10:06:34.364688+00,2025-11-03 10:06:34.364688+00,,"{""activities"":[]}","{""lottie_url"":""https://lottie.org/care-home/england/1-110294199/bryony-house/"",""cqc_profile"":""https://www.cqc.org.uk/location/1-110294199"",""carehome_url"":""https://www.carehome.co.uk/carehome.cfm/searchazref/10002501BRYA""}","{""services"":[""Care home service without nursing""]}","{""bands"":[""Older people""]}",{},{},{},{},{},"{""main_partner"":""*"",""registered_manager"":""Whittaker, Lorraine"",""nominated_individual"":""Shrimpton, Alan""}",{},{},"{""paf_id"":null,""uprn_id"":""1.00071E+11"",""ccg_code"":""E38000220"",""ccg_name"":""NHS Birmingham and Solihull CCG"",""nhs_region"":""Midlands"",""commissioning_ccg_code"":null,""commissioning_ccg_name"":null,""parliamentary_constituency"":""Birmingham Northfield""}","{""provider_city"":""Birmingham"",""address_line_2"":null,""street_address"":""30 Bryony Road"",""provider_county"":""West Midlands"",""provider_postcode"":""B29 4BX"",""provider_address_line_2"":""30 Bryony Road"",""provider_street_address"":""Bryony House""}",{},"{""inherited_rating"":false,""location_type_sector"":""Social Care Org"",""provider_type_sector"":""Social Care Org"",""inspection_directorate"":""Adult social care"",""provider_charity_number"":""222915"",""provider_ownership_type"":""Organisation"",""primary_inspection_category"":""Residential social care"",""provider_companies_house_number"":""551609"",""provider_inspection_directorate"":""Adult social care"",""provider_primary_inspection_category"":""Residential social care""}",{},1214752965,2010-10-01
7,1-11058464513,VNJN6,Sutton Park Grange,sutton park grange,Sutton Coldfield Care Limited,1-10839455095,BRAND Cinnamon Care Collection,1212691235,,,Sutton Coldfield,,B72 1LY,52.5519450,-1.8272260,West Midlands,Birmingham,64,,false,,,,2021,true,false,true,,false,false,false,false,false,true,true,false,true,true,true,false,,false,false,false,false,,,,,true,true,true,true,Good,Good,Good,Good,Good,Good,2023-08-05,,http://www.cqc.org.uk/location/1-11058464513,,,,false,false,false,false,false,false,100,2025-11-03 10:06:34.364688+00,2025-11-03 10:06:34.364688+00,,"{""activities"":[]}","{""lottie_url"":""https://lottie.org/care-home/england/1-11058464513/sutton-park-grange/"",""cqc_profile"":""https://www.cqc.org.uk/location/1-11058464513"",""carehome_url"":""https://www.carehome.co.uk/carehome.cfm/searchazref/65432239325""}","{""services"":[""Care home service without nursing""]}","{""bands"":[""Dementia"",""Older people"",""Physical disability"",""Sensory impairment"",""Younger adults""]}",{},{},{},{},{},"{""main_partner"":""*"",""registered_manager"":""Edmonds, Susan"",""nominated_individual"":""Hunt, Carole""}",{},{},"{""paf_id"":null,""uprn_id"":""10094975724"",""ccg_code"":""E38000220"",""ccg_name"":""NHS Birmingham and Solihull CCG"",""nhs_region"":""Midlands"",""commissioning_ccg_code"":null,""commissioning_ccg_name"":null,""parliamentary_constituency"":""Sutton Coldfield""}","{""provider_city"":""Egham"",""address_line_2"":null,""street_address"":""136 Birmingham Road"",""provider_county"":null,""provider_postcode"":""TW20 9AD"",""provider_address_line_2"":""64 The Avenue"",""provider_street_address"":""The Old House""}",{},"{""inherited_rating"":false,""location_type_sector"":""Social Care Org"",""provider_type_sector"":""Social Care Org"",""inspection_directorate"":""Adult social care"",""provider_charity_number"":null,""provider_ownership_type"":""Organisation"",""primary_inspection_category"":""Residential social care"",""provider_companies_house_number"":""11206864"",""provider_inspection_directorate"":""Adult social care"",""provider_primary_inspection_category"":""Residential social care""}",{},1784220066,2021-06-11
8,1-111397200,VLMAN,Orchard House Nursing Home,orchard house,Orchard House (Midlands) Limited,1-101616595,-,1213780272,,www.orchardhousenursinghome.co.uk,Sutton Coldfield,West Midlands,B75 6DS,52.5721860,-1.8021370,West Midlands,Birmingham,31,,false,,,,2011,false,true,false,,false,false,false,true,true,true,false,false,false,false,false,false,,false,false,false,false,,,,,true,true,true,true,Good,Good,Good,Good,Good,Good,2019-05-21,,http://www.cqc.org.uk/location/1-111397200,,,,false,false,false,false,false,false,100,2025-11-03 10:06:34.364688+00,2025-11-03 10:06:34.364688+00,,"{""activities"":[""diagnostic_screening"",""treatment_disease""]}","{""lottie_url"":""https://lottie.org/care-home/england/1-111397200/orchard-house-nursing-home/"",""cqc_profile"":""https://www.cqc.org.uk/location/1-111397200"",""carehome_url"":""https://www.carehome.co.uk/carehome.cfm/searchazref/20002501ORCA""}","{""services"":[""Care home service with nursing""]}","{""bands"":[""Older people""]}",{},{},{},{},{},"{""main_partner"":""*"",""registered_manager"":""Varughese, Sheela"",""nominated_individual"":""Shanmugarajah, Harikaran""}",{},{},"{""paf_id"":null,""uprn_id"":""1.00071E+11"",""ccg_code"":""E38000220"",""ccg_name"":""NHS Birmingham and Solihull CCG"",""nhs_region"":""Midlands"",""commissioning_ccg_code"":null,""commissioning_ccg_name"":null,""parliamentary_constituency"":""Sutton Coldfield""}","{""provider_city"":""Sutton Coldfield"",""address_line_2"":null,""street_address"":""126 Whitehouse Common Road"",""provider_county"":""West Midlands"",""provider_postcode"":""B75 6DS"",""provider_address_line_2"":null,""provider_street_address"":""126 Whitehouse Common Road""}",{},"{""inherited_rating"":false,""location_type_sector"":""Social Care Org"",""provider_type_sector"":""Social Care Org"",""inspection_directorate"":""Adult social care"",""provider_charity_number"":null,""provider_ownership_type"":""Organisation"",""primary_inspection_category"":""Residential social care"",""provider_companies_house_number"":""2047159"",""provider_inspection_directorate"":""Adult social care"",""provider_primary_inspection_category"":""Residential social care""}",{},1213780272,2010-10-01
9,1-11242868692,VNJWW,Blackmoor,blackmoor,Blackmoor Croft Health Care Limited,1-10854506010,BRAND Exemplar Health Care Limited,1218243200,,www.exemplarhc.com,Birmingham,,B33 0PE,52.4775680,-1.7674020,West Midlands,Birmingham,30,,false,,,,2021,false,true,true,,false,false,false,true,false,true,true,true,true,false,true,false,,false,false,false,false,,,,,true,true,true,true,Requires Improvement,Requires Improvement,Good,Good,Requires Improvement,Requires Improvement,2023-01-12,,http://www.cqc.org.uk/location/1-11242868692,,,,false,false,false,false,false,false,100,2025-11-03 10:06:34.364688+00,2025-11-03 10:06:34.364688+00,,"{""activities"":[""treatment_disease""]}","{""lottie_url"":""https://lottie.org/care-home/england/1-11242868692/blackmoor/"",""cqc_profile"":""https://www.cqc.org.uk/location/1-11242868692"",""carehome_url"":""https://www.carehome.co.uk/carehome.cfm/searchazref/65432243456""}","{""services"":[""Care home service with nursing""]}","{""bands"":[""Dementia"",""Mental health"",""Older people"",""Physical disability"",""Younger adults""]}",{},{},{},{},{},"{""main_partner"":""*"",""registered_manager"":""Breen, Arron"",""nominated_individual"":""Wall, Selina""}",{},{},"{""paf_id"":null,""uprn_id"":""1.0007E+11"",""ccg_code"":""E38000220"",""ccg_name"":""NHS Birmingham and Solihull CCG"",""nhs_region"":""Midlands"",""commissioning_ccg_code"":null,""commissioning_ccg_name"":null,""parliamentary_constituency"":""Birmingham Hodge Hill and Solihull North""}","{""provider_city"":""Sheffield"",""address_line_2"":null,""street_address"":""21 Blackmoor Croft"",""provider_county"":null,""provider_postcode"":""S9 1XH"",""provider_address_line_2"":null,""provider_street_address"":""17 Europa View""}",{},"{""inherited_rating"":false,""location_type_sector"":""Social Care Org"",""provider_type_sector"":""Social Care Org"",""inspection_directorate"":""Adult social care"",""provider_charity_number"":null,""provider_ownership_type"":""Organisation"",""primary_inspection_category"":""Residential social care"",""provider_companies_house_number"":""12177694"",""provider_inspection_directorate"":""Adult social care"",""provider_primary_inspection_category"":""Residential social care""}",{},1709565700,2021-07-26
